course_id,student_id,course_code,course_title,credit,semester,faculty,section,enrolled_status
CRS000905,2026014900000009,CSE321,Artificial Intelligence,3.0,1,Mr. Chowdhury,A,Enrolled
CRS001001,2026025000000010,EEE101,Electrical Circuits,3.0,2,Ms. Akter,B,Enrolled
CRS001002,2026025000000010,EEE203,Digital Electronics,3.0,2,Ms. Akter,B,Enrolled
CRS001003,2026025000000010,EEE221,Signals and Systems,3.0,2,Prof. Sultana,B,Enrolled
CRS001004,2026025000000010,EEE303,Power Systems,3.0,2,Ms. Akter,B,Enrolled
CRS001005,2026025000000010,EEE315,Control Systems,3.0,2,Ms. Akter,B,Enrolled
CRS001101,2026035100000011,BUS101,Principles of Management,3.0,3,Dr. Karim,C,Enrolled
CRS001102,2026035100000011,BUS203,Business Communication,3.0,3,Dr. Karim,C,Enrolled
CRS001103,2026035100000011,FIN221,Corporate Finance,3.0,3,Prof. Sultana,C,Enrolled
CRS001104,2026035100000011,MKT301,Marketing Management,3.0,3,Dr. Rahman,C,Enrolled
CRS001105,2026035100000011,ACC211,Financial Accounting,3.0,3,Dr. Karim,C,Enrolled
CRS001201,2026045200000012,ENG101,Composition and Rhetoric,3.0,4,Ms. Akter,D,Enrolled
CRS001202,2026045200000012,ENG205,Bangladeshi Literature,3.0,4,Ms. Akter,D,Enrolled
CRS001203,2026045200000012,ENG221,Phonetics,3.0,4,Ms. Akter,D,Enrolled
CRS001204,2026045200000012,ENG303,Postcolonial Studies,3.0,4,Dr. Karim,D,Enrolled
CRS001205,2026045200000012,ENG315,ELT Methods,3.0,4,Dr. Karim,D,Enrolled
CRS001301,2026055300000013,LAW101,Legal System of Bangladesh,3.0,5,Prof. Sultana,A,Enrolled
CRS001302,2026055300000013,LAW203,Constitutional Law,3.0,5,Prof. Sultana,A,Enrolled
CRS001303,2026055300000013,LAW221,Criminal Law,3.0,5,Dr. Karim,A,Enrolled
CRS001304,2026055300000013,LAW303,Contract Law,3.0,5,Dr. Rahman,A,Enrolled
CRS001305,2026055300000013,LAW315,Land Laws,3.0,5,Dr. Karim,A,Enrolled
CRS001401,2026065400000014,PHR101,Pharmaceutical Chemistry,3.0,6,Mr. Chowdhury,B,Enrolled
CRS001402,2026065400000014,PHR203,Pharmacognosy,3.0,6,Dr. Karim,B,Enrolled
CRS001403,2026065400000014,PHR221,Human Physiology,3.0,6,Mr. Chowdhury,B,Enrolled
CRS001404,2026065400000014,PHR303,Clinical Pharmacy,3.0,6,Dr. Karim,B,Enrolled
CRS001405,2026065400000014,PHR315,Dosage Form Design,3.0,6,Dr. Karim,B,Enrolled
CRS001501,2026075500000015,CE101,Engineering Drawing,3.0,7,Ms. Akter,C,Enrolled
CRS001502,2026075500000015,CE203,Structural Mechanics,3.0,7,Mr. Chowdhury,C,Enrolled
CRS001503,2026075500000015,CE221,Surveying,3.0,7,Dr. Karim,C,Enrolled
CRS001504,2026075500000015,CE303,Transportation Engineering,3.0,7,Mr. Chowdhury,C,Enrolled
CRS001505,2026075500000015,CE315,Environmental Engineering,3.0,7,Dr. Karim,C,Enrolled
CRS001601,2026085600000016,ECO101,Microeconomics,3.0,8,Dr. Karim,D,Enrolled
CRS001602,2026085600000016,ECO203,Macroeconomics,3.0,8,Ms. Akter,D,Enrolled
CRS001603,2026085600000016,ECO221,Bangladesh Economy,3.0,8,Dr. Rahman,D,Enrolled
CRS001604,2026085600000016,ECO303,Development Economics,3.0,8,Dr. Rahman,D,Enrolled
CRS001605,2026085600000016,ECO315,Econometrics,3.0,8,Ms. Akter,D,Enrolled
CRS001701,2026014900000017,CSE101,Structured Programming,3.0,1,Dr. Rahman,A,Enrolled
CRS001702,2026014900000017,CSE203,Data Structures,3.0,1,Mr. Chowdhury,A,Enrolled
CRS001703,2026014900000017,CSE211,Database Systems,3.0,1,Prof. Sultana,A,Enrolled
CRS001704,2026014900000017,CSE305,Operating Systems,3.0,1,Prof. Sultana,A,Enrolled
CRS001705,2026014900000017,CSE321,Artificial Intelligence,3.0,1,Mr. Chowdhury,A,Enrolled
CRS001801,2026025000000018,EEE101,Electrical Circuits,3.0,2,Prof. Sultana,B,Enrolled
CRS001802,2026025000000018,EEE203,Digital Electronics,3.0,2,Prof. Sultana,B,Enrolled
CRS001803,2026025000000018,EEE221,Signals and Systems,3.0,2,Ms. Akter,B,Enrolled
CRS001804,2026025000000018,EEE303,Power Systems,3.0,2,Mr. Chowdhury,B,Enrolled
CRS001805,2026025000000018,EEE315,Control Systems,3.0,2,Ms. Akter,B,Enrolled
CRS001901,2026035100000019,BUS101,Principles of Management,3.0,3,Dr. Rahman,C,Enrolled
CRS001902,2026035100000019,BUS203,Business Communication,3.0,3,Ms. Akter,C,Enrolled
CRS001903,2026035100000019,FIN221,Corporate Finance,3.0,3,Ms. Akter,C,Enrolled
CRS001904,2026035100000019,MKT301,Marketing Management,3.0,3,Ms. Akter,C,Enrolled
CRS001905,2026035100000019,ACC211,Financial Accounting,3.0,3,Dr. Karim,C,Enrolled
CRS002001,2026045200000020,ENG101,Composition and Rhetoric,3.0,4,Dr. Rahman,D,Enrolled
CRS002002,2026045200000020,ENG205,Bangladeshi Literature,3.0,4,Dr. Karim,D,Enrolled
CRS002003,2026045200000020,ENG221,Phonetics,3.0,4,Prof. Sultana,D,Enrolled
CRS002004,2026045200000020,ENG303,Postcolonial Studies,3.0,4,Ms. Akter,D,Enrolled
CRS002005,2026045200000020,ENG315,ELT Methods,3.0,4,Dr. Rahman,D,Enrolled
CRS002101,2026055300000021,LAW101,Legal System of Bangladesh,3.0,5,Dr. Karim,A,Enrolled
CRS002102,2026055300000021,LAW203,Constitutional Law,3.0,5,Dr. Rahman,A,Enrolled
CRS002103,2026055300000021,LAW221,Criminal Law,3.0,5,Prof. Sultana,A,Enrolled
CRS002104,2026055300000021,LAW303,Contract Law,3.0,5,Prof. Sultana,A,Enrolled
CRS002105,2026055300000021,LAW315,Land Laws,3.0,5,Ms. Akter,A,Enrolled
CRS002201,2026065400000022,PHR101,Pharmaceutical Chemistry,3.0,6,Dr. Karim,B,Enrolled
CRS002202,2026065400000022,PHR203,Pharmacognosy,3.0,6,Ms. Akter,B,Enrolled
CRS002203,2026065400000022,PHR221,Human Physiology,3.0,6,Mr. Chowdhury,B,Enrolled
CRS002204,2026065400000022,PHR303,Clinical Pharmacy,3.0,6,Mr. Chowdhury,B,Enrolled
CRS002205,2026065400000022,PHR315,Dosage Form Design,3.0,6,Mr. Chowdhury,B,Enrolled
CRS002301,2026075500000023,CE101,Engineering Drawing,3.0,7,Mr. Chowdhury,C,Enrolled
CRS002302,2026075500000023,CE203,Structural Mechanics,3.0,7,Mr. Chowdhury,C,Enrolled
CRS002303,2026075500000023,CE221,Surveying,3.0,7,Prof. Sultana,C,Enrolled
CRS002304,2026075500000023,CE303,Transportation Engineering,3.0,7,Prof. Sultana,C,Enrolled
CRS002305,2026075500000023,CE315,Environmental Engineering,3.0,7,Mr. Chowdhury,C,Enrolled
CRS002401,2026085600000024,ECO101,Microeconomics,3.0,8,Prof. Sultana,D,Enrolled
CRS002402,2026085600000024,ECO203,Macroeconomics,3.0,8,Mr. Chowdhury,D,Enrolled
CRS002403,2026085600000024,ECO221,Bangladesh Economy,3.0,8,Dr. Karim,D,Enrolled
CRS002404,2026085600000024,ECO303,Development Economics,3.0,8,Prof. Sultana,D,Enrolled
CRS002405,2026085600000024,ECO315,Econometrics,3.0,8,Ms. Akter,D,Enrolled
CRS002501,2026014900000025,CSE101,Structured Programming,3.0,1,Dr. Karim,A,Enrolled
CRS002502,2026014900000025,CSE203,Data Structures,3.0,1,Mr. Chowdhury,A,Enrolled
CRS002503,2026014900000025,CSE211,Database Systems,3.0,1,Mr. Chowdhury,A,Enrolled
CRS002504,2026014900000025,CSE305,Operating Systems,3.0,1,Dr. Karim,A,Enrolled
CRS002505,2026014900000025,CSE321,Artificial Intelligence,3.0,1,Dr. Rahman,A,Enrolled
CRS002601,2026025000000026,EEE101,Electrical Circuits,3.0,2,Mr. Chowdhury,B,Enrolled
CRS002602,2026025000000026,EEE203,Digital Electronics,3.0,2,Dr. Rahman,B,Enrolled
CRS002603,2026025000000026,EEE221,Signals and Systems,3.0,2,Mr. Chowdhury,B,Enrolled
CRS002604,2026025000000026,EEE303,Power Systems,3.0,2,Prof. Sultana,B,Enrolled
CRS002605,2026025000000026,EEE315,Control Systems,3.0,2,Prof. Sultana,B,Enrolled
CRS002701,2026035100000027,BUS101,Principles of Management,3.0,3,Dr. Karim,C,Enrolled
CRS002702,2026035100000027,BUS203,Business Communication,3.0,3,Ms. Akter,C,Enrolled
CRS002703,2026035100000027,FIN221,Corporate Finance,3.0,3,Mr. Chowdhury,C,Enrolled
CRS002704,2026035100000027,MKT301,Marketing Management,3.0,3,Dr. Rahman,C,Enrolled
CRS002705,2026035100000027,ACC211,Financial Accounting,3.0,3,Mr. Chowdhury,C,Enrolled
CRS002801,2026045200000028,ENG101,Composition and Rhetoric,3.0,4,Mr. Chowdhury,D,Enrolled
CRS002802,2026045200000028,ENG205,Bangladeshi Literature,3.0,4,Prof. Sultana,D,Enrolled
CRS002803,2026045200000028,ENG221,Phonetics,3.0,4,Dr. Rahman,D,Enrolled
CRS002804,2026045200000028,ENG303,Postcolonial Studies,3.0,4,Dr. Karim,D,Enrolled
CRS002805,2026045200000028,ENG315,ELT Methods,3.0,4,Dr. Karim,D,Enrolled
CRS002901,2026055300000029,LAW101,Legal System of Bangladesh,3.0,5,Ms. Akter,A,Enrolled
CRS002902,2026055300000029,LAW203,Constitutional Law,3.0,5,Prof. Sultana,A,Enrolled
CRS002903,2026055300000029,LAW221,Criminal Law,3.0,5,Ms. Akter,A,Enrolled
CRS002904,2026055300000029,LAW303,Contract Law,3.0,5,Dr. Karim,A,Enrolled
CRS002905,2026055300000029,LAW315,Land Laws,3.0,5,Prof. Sultana,A,Enrolled
CRS003001,2026065400000030,PHR101,Pharmaceutical Chemistry,3.0,6,Dr. Karim,B,Enrolled
CRS003002,2026065400000030,PHR203,Pharmacognosy,3.0,6,Mr. Chowdhury,B,Enrolled
CRS003003,2026065400000030,PHR221,Human Physiology,3.0,6,Prof. Sultana,B,Enrolled
CRS003004,2026065400000030,PHR303,Clinical Pharmacy,3.0,6,Dr. Rahman,B,Enrolled
CRS003005,2026065400000030,PHR315,Dosage Form Design,3.0,6,Ms. Akter,B,Enrolled
CRS003101,2026075500000031,CE101,Engineering Drawing,3.0,7,Dr. Karim,C,Enrolled
CRS003102,2026075500000031,CE203,Structural Mechanics,3.0,7,Dr. Rahman,C,Enrolled
CRS003103,2026075500000031,CE221,Surveying,3.0,7,Dr. Karim,C,Enrolled
CRS003104,2026075500000031,CE303,Transportation Engineering,3.0,7,Ms. Akter,C,Enrolled
CRS003105,2026075500000031,CE315,Environmental Engineering,3.0,7,Dr. Rahman,C,Enrolled
CRS003201,2026085600000032,ECO101,Microeconomics,3.0,8,Dr. Karim,D,Enrolled
CRS003202,2026085600000032,ECO203,Macroeconomics,3.0,8,Prof. Sultana,D,Enrolled
CRS003203,2026085600000032,ECO221,Bangladesh Economy,3.0,8,Prof. Sultana,D,Enrolled
CRS003204,2026085600000032,ECO303,Development Economics,3.0,8,Ms. Akter,D,Enrolled
CRS003205,2026085600000032,ECO315,Econometrics,3.0,8,Prof. Sultana,D,Enrolled
CRS003301,2026014900000033,CSE101,Structured Programming,3.0,1,Ms. Akter,A,Enrolled
CRS003302,2026014900000033,CSE203,Data Structures,3.0,1,Ms. Akter,A,Enrolled
CRS003303,2026014900000033,CSE211,Database Systems,3.0,1,Prof. Sultana,A,Enrolled
CRS003304,2026014900000033,CSE305,Operating Systems,3.0,1,Ms. Akter,A,Enrolled
CRS003305,2026014900000033,CSE321,Artificial Intelligence,3.0,1,Dr. Karim,A,Enrolled
CRS003401,2026025000000034,EEE101,Electrical Circuits,3.0,2,Dr. Rahman,B,Enrolled
CRS003402,2026025000000034,EEE203,Digital Electronics,3.0,2,Dr. Rahman,B,Enrolled
CRS003403,2026025000000034,EEE221,Signals and Systems,3.0,2,Dr. Karim,B,Enrolled
CRS003404,2026025000000034,EEE303,Power Systems,3.0,2,Dr. Karim,B,Enrolled
CRS003405,2026025000000034,EEE315,Control Systems,3.0,2,Mr. Chowdhury,B,Enrolled
CRS003501,2026035100000035,BUS101,Principles of Management,3.0,3,Dr. Rahman,C,Enrolled
CRS003502,2026035100000035,BUS203,Business Communication,3.0,3,Ms. Akter,C,Enrolled
CRS003503,2026035100000035,FIN221,Corporate Finance,3.0,3,Dr. Karim,C,Enrolled
CRS003504,2026035100000035,MKT301,Marketing Management,3.0,3,Dr. Karim,C,Enrolled
CRS003505,2026035100000035,ACC211,Financial Accounting,3.0,3,Prof. Sultana,C,Enrolled
CRS003601,2026045200000036,ENG101,Composition and Rhetoric,3.0,4,Dr. Karim,D,Enrolled
CRS003602,2026045200000036,ENG205,Bangladeshi Literature,3.0,4,Dr. Karim,D,Enrolled
CRS003603,2026045200000036,ENG221,Phonetics,3.0,4,Prof. Sultana,D,Enrolled
CRS003604,2026045200000036,ENG303,Postcolonial Studies,3.0,4,Dr. Karim,D,Enrolled
CRS003605,2026045200000036,ENG315,ELT Methods,3.0,4,Prof. Sultana,D,Enrolled
CRS003701,2026055300000037,LAW101,Legal System of Bangladesh,3.0,5,Prof. Sultana,A,Enrolled
CRS003702,2026055300000037,LAW203,Constitutional Law,3.0,5,Ms. Akter,A,Enrolled
CRS003703,2026055300000037,LAW221,Criminal Law,3.0,5,Ms. Akter,A,Enrolled
CRS003704,2026055300000037,LAW303,Contract Law,3.0,5,Ms. Akter,A,Enrolled
CRS003705,2026055300000037,LAW315,Land Laws,3.0,5,Mr. Chowdhury,A,Enrolled
CRS003801,2026065400000038,PHR101,Pharmaceutical Chemistry,3.0,6,Dr. Rahman,B,Enrolled
CRS003802,2026065400000038,PHR203,Pharmacognosy,3.0,6,Mr. Chowdhury,B,Enrolled
CRS003803,2026065400000038,PHR221,Human Physiology,3.0,6,Dr. Rahman,B,Enrolled
CRS003804,2026065400000038,PHR303,Clinical Pharmacy,3.0,6,Mr. Chowdhury,B,Enrolled
CRS003805,2026065400000038,PHR315,Dosage Form Design,3.0,6,Mr. Chowdhury,B,Enrolled
CRS003901,2026075500000039,CE101,Engineering Drawing,3.0,7,Dr. Karim,C,Enrolled
CRS003902,2026075500000039,CE203,Structural Mechanics,3.0,7,Prof. Sultana,C,Enrolled
CRS003903,2026075500000039,CE221,Surveying,3.0,7,Mr. Chowdhury,C,Enrolled
CRS003904,2026075500000039,CE303,Transportation Engineering,3.0,7,Prof. Sultana,C,Enrolled
CRS003905,2026075500000039,CE315,Environmental Engineering,3.0,7,Mr. Chowdhury,C,Enrolled
CRS004001,2026085600000040,ECO101,Microeconomics,3.0,8,Ms. Akter,D,Enrolled
CRS004002,2026085600000040,ECO203,Macroeconomics,3.0,8,Dr. Karim,D,Enrolled
CRS004003,2026085600000040,ECO221,Bangladesh Economy,3.0,8,Ms. Akter,D,Enrolled
CRS004004,2026085600000040,ECO303,Development Economics,3.0,8,Mr. Chowdhury,D,Enrolled
CRS004005,2026085600000040,ECO315,Econometrics,3.0,8,Prof. Sultana,D,Enrolled
CRS004101,2026014900000041,CSE101,Structured Programming,3.0,1,Dr. Rahman,A,Enrolled
CRS004102,2026014900000041,CSE203,Data Structures,3.0,1,Ms. Akter,A,Enrolled
CRS004103,2026014900000041,CSE211,Database Systems,3.0,1,Dr. Karim,A,Enrolled
CRS004104,2026014900000041,CSE305,Operating Systems,3.0,1,Dr. Karim,A,Enrolled
CRS004105,2026014900000041,CSE321,Artificial Intelligence,3.0,1,Dr. Karim,A,Enrolled
CRS004201,2026025000000042,EEE101,Electrical Circuits,3.0,2,Dr. Rahman,B,Enrolled
CRS004202,2026025000000042,EEE203,Digital Electronics,3.0,2,Dr. Rahman,B,Enrolled
CRS004203,2026025000000042,EEE221,Signals and Systems,3.0,2,Ms. Akter,B,Enrolled
CRS004204,2026025000000042,EEE303,Power Systems,3.0,2,Dr. Rahman,B,Enrolled
CRS004205,2026025000000042,EEE315,Control Systems,3.0,2,Mr. Chowdhury,B,Enrolled
CRS004301,2026035100000043,BUS101,Principles of Management,3.0,3,Ms. Akter,C,Enrolled
CRS004302,2026035100000043,BUS203,Business Communication,3.0,3,Mr. Chowdhury,C,Enrolled
CRS004303,2026035100000043,FIN221,Corporate Finance,3.0,3,Ms. Akter,C,Enrolled
CRS004304,2026035100000043,MKT301,Marketing Management,3.0,3,Prof. Sultana,C,Enrolled
CRS004305,2026035100000043,ACC211,Financial Accounting,3.0,3,Mr. Chowdhury,C,Enrolled
CRS004401,2026045200000044,ENG101,Composition and Rhetoric,3.0,4,Dr. Rahman,D,Enrolled
CRS004402,2026045200000044,ENG205,Bangladeshi Literature,3.0,4,Dr. Karim,D,Enrolled
CRS004403,2026045200000044,ENG221,Phonetics,3.0,4,Ms. Akter,D,Enrolled
CRS004404,2026045200000044,ENG303,Postcolonial Studies,3.0,4,Mr. Chowdhury,D,Enrolled
CRS004405,2026045200000044,ENG315,ELT Methods,3.0,4,Mr. Chowdhury,D,Enrolled
CRS004501,2026055300000045,LAW101,Legal System of Bangladesh,3.0,5,Mr. Chowdhury,A,Enrolled
CRS004502,2026055300000045,LAW203,Constitutional Law,3.0,5,Dr. Karim,A,Enrolled
CRS004503,2026055300000045,LAW221,Criminal Law,3.0,5,Dr. Rahman,A,Enrolled
CRS004504,2026055300000045,LAW303,Contract Law,3.0,5,Ms. Akter,A,Enrolled
CRS004505,2026055300000045,LAW315,Land Laws,3.0,5,Mr. Chowdhury,A,Enrolled
CRS004601,2026065400000046,PHR101,Pharmaceutical Chemistry,3.0,6,Dr. Karim,B,Enrolled
CRS004602,2026065400000046,PHR203,Pharmacognosy,3.0,6,Dr. Karim,B,Enrolled
CRS004603,2026065400000046,PHR221,Human Physiology,3.0,6,Ms. Akter,B,Enrolled
CRS004604,2026065400000046,PHR303,Clinical Pharmacy,3.0,6,Dr. Karim,B,Enrolled
CRS004605,2026065400000046,PHR315,Dosage Form Design,3.0,6,Dr. Karim,B,Enrolled
CRS004701,2026075500000047,CE101,Engineering Drawing,3.0,7,Mr. Chowdhury,C,Enrolled
CRS004702,2026075500000047,CE203,Structural Mechanics,3.0,7,Mr. Chowdhury,C,Enrolled
CRS004703,2026075500000047,CE221,Surveying,3.0,7,Mr. Chowdhury,C,Enrolled
CRS004704,2026075500000047,CE303,Transportation Engineering,3.0,7,Dr. Rahman,C,Enrolled
CRS004705,2026075500000047,CE315,Environmental Engineering,3.0,7,Mr. Chowdhury,C,Enrolled
CRS004801,2026085600000048,ECO101,Microeconomics,3.0,8,Prof. Sultana,D,Enrolled
CRS004802,2026085600000048,ECO203,Macroeconomics,3.0,8,Dr. Rahman,D,Enrolled
CRS004803,2026085600000048,ECO221,Bangladesh Economy,3.0,8,Ms. Akter,D,Enrolled
CRS004804,2026085600000048,ECO303,Development Economics,3.0,8,Mr. Chowdhury,D,Enrolled
CRS004805,2026085600000048,ECO315,Econometrics,3.0,8,Dr. Rahman,D,Enrolled
CRS004901,2026014900000049,CSE101,Structured Programming,3.0,1,Prof. Sultana,A,Enrolled
CRS004902,2026014900000049,CSE203,Data Structures,3.0,1,Dr. Karim,A,Enrolled
CRS004903,2026014900000049,CSE211,Database Systems,3.0,1,Ms. Akter,A,Enrolled
CRS004904,2026014900000049,CSE305,Operating Systems,3.0,1,Ms. Akter,A,Enrolled
CRS004905,2026014900000049,CSE321,Artificial Intelligence,3.0,1,Prof. Sultana,A,Enrolled
CRS005001,2026025000000050,EEE101,Electrical Circuits,3.0,2,Prof. Sultana,B,Enrolled
CRS005002,2026025000000050,EEE203,Digital Electronics,3.0,2,Dr. Rahman,B,Enrolled
CRS005003,2026025000000050,EEE221,Signals and Systems,3.0,2,Prof. Sultana,B,Enrolled
CRS005004,2026025000000050,EEE303,Power Systems,3.0,2,Prof. Sultana,B,Enrolled
CRS005005,2026025000000050,EEE315,Control Systems,3.0,2,Ms. Akter,B,Enrolled
CRS005101,2026035100000051,BUS101,Principles of Management,3.0,3,Ms. Akter,C,Enrolled
CRS005102,2026035100000051,BUS203,Business Communication,3.0,3,Mr. Chowdhury,C,Enrolled
CRS005103,2026035100000051,FIN221,Corporate Finance,3.0,3,Dr. Rahman,C,Enrolled
CRS005104,2026035100000051,MKT301,Marketing Management,3.0,3,Mr. Chowdhury,C,Enrolled
CRS005105,2026035100000051,ACC211,Financial Accounting,3.0,3,Dr. Rahman,C,Enrolled
CRS005201,2026045200000052,ENG101,Composition and Rhetoric,3.0,4,Prof. Sultana,D,Enrolled
CRS005202,2026045200000052,ENG205,Bangladeshi Literature,3.0,4,Mr. Chowdhury,D,Enrolled
CRS005203,2026045200000052,ENG221,Phonetics,3.0,4,Mr. Chowdhury,D,Enrolled
CRS005204,2026045200000052,ENG303,Postcolonial Studies,3.0,4,Mr. Chowdhury,D,Enrolled
CRS005205,2026045200000052,ENG315,ELT Methods,3.0,4,Mr. Chowdhury,D,Enrolled
CRS005301,2026055300000053,LAW101,Legal System of Bangladesh,3.0,5,Dr. Karim,A,Enrolled
CRS005302,2026055300000053,LAW203,Constitutional Law,3.0,5,Mr. Chowdhury,A,Enrolled
CRS005303,2026055300000053,LAW221,Criminal Law,3.0,5,Dr. Rahman,A,Enrolled
CRS005304,2026055300000053,LAW303,Contract Law,3.0,5,Mr. Chowdhury,A,Enrolled
CRS005305,2026055300000053,LAW315,Land Laws,3.0,5,Dr. Rahman,A,Enrolled
CRS005401,2026065400000054,PHR101,Pharmaceutical Chemistry,3.0,6,Ms. Akter,B,Enrolled
CRS005402,2026065400000054,PHR203,Pharmacognosy,3.0,6,Ms. Akter,B,Enrolled
CRS005403,2026065400000054,PHR221,Human Physiology,3.0,6,Mr. Chowdhury,B,Enrolled
CRS005404,2026065400000054,PHR303,Clinical Pharmacy,3.0,6,Prof. Sultana,B,Enrolled
CRS005405,2026065400000054,PHR315,Dosage Form Design,3.0,6,Mr. Chowdhury,B,Enrolled
CRS005501,2026075500000055,CE101,Engineering Drawing,3.0,7,Dr. Rahman,C,Enrolled
CRS005502,2026075500000055,CE203,Structural Mechanics,3.0,7,Dr. Rahman,C,Enrolled
CRS005503,2026075500000055,CE221,Surveying,3.0,7,Prof. Sultana,C,Enrolled
CRS005504,2026075500000055,CE303,Transportation Engineering,3.0,7,Dr. Karim,C,Enrolled
CRS005505,2026075500000055,CE315,Environmental Engineering,3.0,7,Dr. Rahman,C,Enrolled
CRS005601,2026085600000056,ECO101,Microeconomics,3.0,8,Ms. Akter,D,Enrolled
CRS005602,2026085600000056,ECO203,Macroeconomics,3.0,8,Ms. Akter,D,Enrolled
CRS005603,2026085600000056,ECO221,Bangladesh Economy,3.0,8,Mr. Chowdhury,D,Enrolled
CRS005604,2026085600000056,ECO303,Development Economics,3.0,8,Mr. Chowdhury,D,Enrolled
CRS005605,2026085600000056,ECO315,Econometrics,3.0,8,Dr. Rahman,D,Enrolled
CRS005701,2026014900000057,CSE101,Structured Programming,3.0,1,Ms. Akter,A,Enrolled
CRS005702,2026014900000057,CSE203,Data Structures,3.0,1,Dr. Karim,A,Enrolled
CRS005703,2026014900000057,CSE211,Database Systems,3.0,1,Ms. Akter,A,Enrolled
CRS005704,2026014900000057,CSE305,Operating Systems,3.0,1,Mr. Chowdhury,A,Enrolled
