exam_id,student_id,semester,course_code,exam_type,exam_date,marks,grade,gpa
EXM000603,2026065400000006,6,PHR221,Final,2026-07-10,70,A-,3.50
EXM000604,2026065400000006,6,PHR303,Final,2026-07-11,73,A-,3.50
EXM000605,2026065400000006,6,PHR315,Final,2026-07-12,97,A+,4.00
EXM000701,2026075500000007,7,CE101,Final,2026-07-09,72,A-,3.50
EXM000702,2026075500000007,7,CE203,Final,2026-07-10,80,A+,4.00
EXM000703,2026075500000007,7,CE221,Final,2026-07-11,79,A,3.75
EXM000704,2026075500000007,7,CE303,Final,2026-07-12,68,B+,3.25
EXM000705,2026075500000007,7,CE315,Final,2026-07-13,49,C,2.25
EXM000801,2026085600000008,8,ECO101,Final,2026-07-10,50,C+,2.50
EXM000802,2026085600000008,8,ECO203,Final,2026-07-11,92,A+,4.00
EXM000803,2026085600000008,8,ECO221,Final,2026-07-12,52,C+,2.50
EXM000804,2026085600000008,8,ECO303,Final,2026-07-13,47,C,2.25
EXM000805,2026085600000008,8,ECO315,Final,2026-07-14,93,A+,4.00
EXM000901,2026014900000009,1,CSE101,Final,2026-07-11,96,A+,4.00
EXM000902,2026014900000009,1,CSE203,Final,2026-07-12,66,B+,3.25
EXM000903,2026014900000009,1,CSE211,Final,2026-07-13,75,A,3.75
EXM000904,2026014900000009,1,CSE305,Final,2026-07-14,63,B,3.00
EXM000905,2026014900000009,1,CSE321,Final,2026-07-15,41,D,2.00
EXM001001,2026025000000010,2,EEE101,Final,2026-07-12,70,A-,3.50
EXM001002,2026025000000010,2,EEE203,Final,2026-07-13,72,A-,3.50
EXM001003,2026025000000010,2,EEE221,Final,2026-07-14,76,A,3.75
EXM001004,2026025000000010,2,EEE303,Final,2026-07-15,79,A,3.75
EXM001005,2026025000000010,2,EEE315,Final,2026-07-16,84,A+,4.00
EXM001101,2026035100000011,3,BUS101,Final,2026-07-13,86,A+,4.00
EXM001102,2026035100000011,3,BUS203,Final,2026-07-14,60,B,3.00
EXM001103,2026035100000011,3,FIN221,Final,2026-07-15,84,A+,4.00
EXM001104,2026035100000011,3,MKT301,Final,2026-07-16,72,A-,3.50
EXM001105,2026035100000011,3,ACC211,Final,2026-07-17,40,D,2.00
EXM001201,2026045200000012,4,ENG101,Final,2026-07-14,50,C+,2.50
EXM001202,2026045200000012,4,ENG205,Final,2026-07-15,85,A+,4.00
EXM001203,2026045200000012,4,ENG221,Final,2026-07-16,49,C,2.25
EXM001204,2026045200000012,4,ENG303,Final,2026-07-17,96,A+,4.00
EXM001205,2026045200000012,4,ENG315,Final,2026-07-18,74,A-,3.50
EXM001301,2026055300000013,5,LAW101,Final,2026-07-15,65,B+,3.25
EXM001302,2026055300000013,5,LAW203,Final,2026-07-16,59,B-,2.75
EXM001303,2026055300000013,5,LAW221,Final,2026-07-17,40,D,2.00
EXM001304,2026055300000013,5,LAW303,Final,2026-07-18,77,A,3.75
EXM001305,2026055300000013,5,LAW315,Final,2026-07-19,54,C+,2.50
EXM001401,2026065400000014,6,PHR101,Final,2026-07-16,84,A+,4.00
EXM001402,2026065400000014,6,PHR203,Final,2026-07-17,92,A+,4.00
EXM001403,2026065400000014,6,PHR221,Final,2026-07-18,88,A+,4.00
EXM001404,2026065400000014,6,PHR303,Final,2026-07-19,63,B,3.00
EXM001405,2026065400000014,6,PHR315,Final,2026-07-20,89,A+,4.00
EXM001501,2026075500000015,7,CE101,Final,2026-07-17,53,C+,2.50
EXM001502,2026075500000015,7,CE203,Final,2026-07-18,95,A+,4.00
EXM001503,2026075500000015,7,CE221,Final,2026-07-19,80,A+,4.00
EXM001504,2026075500000015,7,CE303,Final,2026-07-20,70,A-,3.50
EXM001505,2026075500000015,7,CE315,Final,2026-07-21,91,A+,4.00
EXM001601,2026085600000016,8,ECO101,Final,2026-07-18,45,C,2.25
EXM001602,2026085600000016,8,ECO203,Final,2026-07-19,58,B-,2.75
EXM001603,2026085600000016,8,ECO221,Final,2026-07-20,45,C,2.25
EXM001604,2026085600000016,8,ECO303,Final,2026-07-21,48,C,2.25
EXM001605,2026085600000016,8,ECO315,Final,2026-07-22,86,A+,4.00
EXM001701,2026014900000017,1,CSE101,Final,2026-07-19,79,A,3.75
EXM001702,2026014900000017,1,CSE203,Final,2026-07-20,60,B,3.00
EXM001703,2026014900000017,1,CSE211,Final,2026-07-21,51,C+,2.50
EXM001704,2026014900000017,1,CSE305,Final,2026-07-22,52,C+,2.50
EXM001705,2026014900000017,1,CSE321,Final,2026-07-23,55,B-,2.75
EXM001801,2026025000000018,2,EEE101,Final,2026-07-20,83,A+,4.00
EXM001802,2026025000000018,2,EEE203,Final,2026-07-21,83,A+,4.00
EXM001803,2026025000000018,2,EEE221,Final,2026-07-22,60,B,3.00
EXM001804,2026025000000018,2,EEE303,Final,2026-07-23,76,A,3.75
EXM001805,2026025000000018,2,EEE315,Final,2026-07-24,77,A,3.75
EXM001901,2026035100000019,3,BUS101,Final,2026-07-21,97,A+,4.00
EXM001902,2026035100000019,3,BUS203,Final,2026-07-22,93,A+,4.00
EXM001903,2026035100000019,3,FIN221,Final,2026-07-23,81,A+,4.00
EXM001904,2026035100000019,3,MKT301,Final,2026-07-24,90,A+,4.00
EXM001905,2026035100000019,3,ACC211,Final,2026-07-25,58,B-,2.75
EXM002001,2026045200000020,4,ENG101,Final,2026-07-02,48,C,2.25
EXM002002,2026045200000020,4,ENG205,Final,2026-07-03,64,B,3.00
EXM002003,2026045200000020,4,ENG221,Final,2026-07-04,51,C+,2.50
EXM002004,2026045200000020,4,ENG303,Final,2026-07-05,94,A+,4.00
EXM002005,2026045200000020,4,ENG315,Final,2026-07-06,82,A+,4.00
EXM002101,2026055300000021,5,LAW101,Final,2026-07-03,48,C,2.25
EXM002102,2026055300000021,5,LAW203,Final,2026-07-04,85,A+,4.00
EXM002103,2026055300000021,5,LAW221,Final,2026-07-05,63,B,3.00
EXM002104,2026055300000021,5,LAW303,Final,2026-07-06,51,C+,2.50
EXM002105,2026055300000021,5,LAW315,Final,2026-07-07,73,A-,3.50
EXM002201,2026065400000022,6,PHR101,Final,2026-07-04,52,C+,2.50
EXM002202,2026065400000022,6,PHR203,Final,2026-07-05,58,B-,2.75
EXM002203,2026065400000022,6,PHR221,Final,2026-07-06,92,A+,4.00
EXM002204,2026065400000022,6,PHR303,Final,2026-07-07,79,A,3.75
EXM002205,2026065400000022,6,PHR315,Final,2026-07-08,76,A,3.75
EXM002301,2026075500000023,7,CE101,Final,2026-07-05,86,A+,4.00
EXM002302,2026075500000023,7,CE203,Final,2026-07-06,78,A,3.75
EXM002303,2026075500000023,7,CE221,Final,2026-07-07,91,A+,4.00
EXM002304,2026075500000023,7,CE303,Final,2026-07-08,62,B,3.00
EXM002305,2026075500000023,7,CE315,Final,2026-07-09,74,A-,3.50
EXM002401,2026085600000024,8,ECO101,Final,2026-07-06,41,D,2.00
EXM002402,2026085600000024,8,ECO203,Final,2026-07-07,45,C,2.25
EXM002403,2026085600000024,8,ECO221,Final,2026-07-08,96,A+,4.00
EXM002404,2026085600000024,8,ECO303,Final,2026-07-09,40,D,2.00
EXM002405,2026085600000024,8,ECO315,Final,2026-07-10,52,C+,2.50
EXM002501,2026014900000025,1,CSE101,Final,2026-07-07,88,A+,4.00
EXM002502,2026014900000025,1,CSE203,Final,2026-07-08,72,A-,3.50
EXM002503,2026014900000025,1,CSE211,Final,2026-07-09,71,A-,3.50
EXM002504,2026014900000025,1,CSE305,Final,2026-07-10,41,D,2.00
EXM002505,2026014900000025,1,CSE321,Final,2026-07-11,79,A,3.75
EXM002601,2026025000000026,2,EEE101,Final,2026-07-08,51,C+,2.50
EXM002602,2026025000000026,2,EEE203,Final,2026-07-09,43,D,2.00
EXM002603,2026025000000026,2,EEE221,Final,2026-07-10,48,C,2.25
EXM002604,2026025000000026,2,EEE303,Final,2026-07-11,45,C,2.25
EXM002605,2026025000000026,2,EEE315,Final,2026-07-12,94,A+,4.00
EXM002701,2026035100000027,3,BUS101,Final,2026-07-09,54,C+,2.50
EXM002702,2026035100000027,3,BUS203,Final,2026-07-10,70,A-,3.50
EXM002703,2026035100000027,3,FIN221,Final,2026-07-11,43,D,2.00
EXM002704,2026035100000027,3,MKT301,Final,2026-07-12,92,A+,4.00
EXM002705,2026035100000027,3,ACC211,Final,2026-07-13,59,B-,2.75
EXM002801,2026045200000028,4,ENG101,Final,2026-07-10,49,C,2.25
EXM002802,2026045200000028,4,ENG205,Final,2026-07-11,47,C,2.25
EXM002803,2026045200000028,4,ENG221,Final,2026-07-12,57,B-,2.75
EXM002804,2026045200000028,4,ENG303,Final,2026-07-13,96,A+,4.00
EXM002805,2026045200000028,4,ENG315,Final,2026-07-14,40,D,2.00
EXM002901,2026055300000029,5,LAW101,Final,2026-07-11,88,A+,4.00
EXM002902,2026055300000029,5,LAW203,Final,2026-07-12,50,C+,2.50
EXM002903,2026055300000029,5,LAW221,Final,2026-07-13,87,A+,4.00
EXM002904,2026055300000029,5,LAW303,Final,2026-07-14,61,B,3.00
EXM002905,2026055300000029,5,LAW315,Final,2026-07-15,67,B+,3.25
EXM003001,2026065400000030,6,PHR101,Final,2026-07-12,64,B,3.00
EXM003002,2026065400000030,6,PHR203,Final,2026-07-13,66,B+,3.25
EXM003003,2026065400000030,6,PHR221,Final,2026-07-14,60,B,3.00
EXM003004,2026065400000030,6,PHR303,Final,2026-07-15,83,A+,4.00
EXM003005,2026065400000030,6,PHR315,Final,2026-07-16,73,A-,3.50
EXM003101,2026075500000031,7,CE101,Final,2026-07-13,70,A-,3.50
EXM003102,2026075500000031,7,CE203,Final,2026-07-14,80,A+,4.00
EXM003103,2026075500000031,7,CE221,Final,2026-07-15,89,A+,4.00
EXM003104,2026075500000031,7,CE303,Final,2026-07-16,52,C+,2.50
EXM003105,2026075500000031,7,CE315,Final,2026-07-17,57,B-,2.75
EXM003201,2026085600000032,8,ECO101,Final,2026-07-14,59,B-,2.75
EXM003202,2026085600000032,8,ECO203,Final,2026-07-15,70,A-,3.50
EXM003203,2026085600000032,8,ECO221,Final,2026-07-16,70,A-,3.50
EXM003204,2026085600000032,8,ECO303,Final,2026-07-17,67,B+,3.25
EXM003205,2026085600000032,8,ECO315,Final,2026-07-18,96,A+,4.00
EXM003301,2026014900000033,1,CSE101,Final,2026-07-15,89,A+,4.00
EXM003302,2026014900000033,1,CSE203,Final,2026-07-16,80,A+,4.00
EXM003303,2026014900000033,1,CSE211,Final,2026-07-17,42,D,2.00
EXM003304,2026014900000033,1,CSE305,Final,2026-07-18,51,C+,2.50
EXM003305,2026014900000033,1,CSE321,Final,2026-07-19,53,C+,2.50
EXM003401,2026025000000034,2,EEE101,Final,2026-07-16,80,A+,4.00
EXM003402,2026025000000034,2,EEE203,Final,2026-07-17,49,C,2.25
EXM003403,2026025000000034,2,EEE221,Final,2026-07-18,74,A-,3.50
EXM003404,2026025000000034,2,EEE303,Final,2026-07-19,85,A+,4.00
EXM003405,2026025000000034,2,EEE315,Final,2026-07-20,61,B,3.00
EXM003501,2026035100000035,3,BUS101,Final,2026-07-17,92,A+,4.00
EXM003502,2026035100000035,3,BUS203,Final,2026-07-18,42,D,2.00
EXM003503,2026035100000035,3,FIN221,Final,2026-07-19,51,C+,2.50
EXM003504,2026035100000035,3,MKT301,Final,2026-07-20,90,A+,4.00
EXM003505,2026035100000035,3,ACC211,Final,2026-07-21,76,A,3.75
EXM003601,2026045200000036,4,ENG101,Final,2026-07-18,74,A-,3.50
EXM003602,2026045200000036,4,ENG205,Final,2026-07-19,55,B-,2.75
EXM003603,2026045200000036,4,ENG221,Final,2026-07-20,50,C+,2.50
EXM003604,2026045200000036,4,ENG303,Final,2026-07-21,89,A+,4.00
EXM003605,2026045200000036,4,ENG315,Final,2026-07-22,73,A-,3.50
EXM003701,2026055300000037,5,LAW101,Final,2026-07-19,87,A+,4.00
EXM003702,2026055300000037,5,LAW203,Final,2026-07-20,64,B,3.00
EXM003703,2026055300000037,5,LAW221,Final,2026-07-21,48,C,2.25
EXM003704,2026055300000037,5,LAW303,Final,2026-07-22,96,A+,4.00
EXM003705,2026055300000037,5,LAW315,Final,2026-07-23,62,B,3.00
EXM003801,2026065400000038,6,PHR101,Final,2026-07-20,41,D,2.00
EXM003802,2026065400000038,6,PHR203,Final,2026-07-21,93,A+,4.00
EXM003803,2026065400000038,6,PHR221,Final,2026-07-22,95,A+,4.00
EXM003804,2026065400000038,6,PHR303,Final,2026-07-23,59,B-,2.75
EXM003805,2026065400000038,6,PHR315,Final,2026-07-24,97,A+,4.00
EXM003901,2026075500000039,7,CE101,Final,2026-07-21,78,A,3.75
EXM003902,2026075500000039,7,CE203,Final,2026-07-22,83,A+,4.00
EXM003903,2026075500000039,7,CE221,Final,2026-07-23,45,C,2.25
EXM003904,2026075500000039,7,CE303,Final,2026-07-24,72,A-,3.50
EXM003905,2026075500000039,7,CE315,Final,2026-07-25,80,A+,4.00
EXM004001,2026085600000040,8,ECO101,Final,2026-07-02,54,C+,2.50
EXM004002,2026085600000040,8,ECO203,Final,2026-07-03,77,A,3.75
EXM004003,2026085600000040,8,ECO221,Final,2026-07-04,69,B+,3.25
EXM004004,2026085600000040,8,ECO303,Final,2026-07-05,95,A+,4.00
EXM004005,2026085600000040,8,ECO315,Final,2026-07-06,64,B,3.00
EXM004101,2026014900000041,1,CSE101,Final,2026-07-03,92,A+,4.00
EXM004102,2026014900000041,1,CSE203,Final,2026-07-04,40,D,2.00
EXM004103,2026014900000041,1,CSE211,Final,2026-07-05,79,A,3.75
EXM004104,2026014900000041,1,CSE305,Final,2026-07-06,58,B-,2.75
EXM004105,2026014900000041,1,CSE321,Final,2026-07-07,54,C+,2.50
EXM004201,2026025000000042,2,EEE101,Final,2026-07-04,90,A+,4.00
EXM004202,2026025000000042,2,EEE203,Final,2026-07-05,40,D,2.00
EXM004203,2026025000000042,2,EEE221,Final,2026-07-06,93,A+,4.00
EXM004204,2026025000000042,2,EEE303,Final,2026-07-07,90,A+,4.00
EXM004205,2026025000000042,2,EEE315,Final,2026-07-08,85,A+,4.00
EXM004301,2026035100000043,3,BUS101,Final,2026-07-05,58,B-,2.75
EXM004302,2026035100000043,3,BUS203,Final,2026-07-06,81,A+,4.00
EXM004303,2026035100000043,3,FIN221,Final,2026-07-07,59,B-,2.75
EXM004304,2026035100000043,3,MKT301,Final,2026-07-08,95,A+,4.00
EXM004305,2026035100000043,3,ACC211,Final,2026-07-09,41,D,2.00
EXM004401,2026045200000044,4,ENG101,Final,2026-07-06,87,A+,4.00
EXM004402,2026045200000044,4,ENG205,Final,2026-07-07,74,A-,3.50
EXM004403,2026045200000044,4,ENG221,Final,2026-07-08,45,C,2.25
EXM004404,2026045200000044,4,ENG303,Final,2026-07-09,70,A-,3.50
EXM004405,2026045200000044,4,ENG315,Final,2026-07-10,97,A+,4.00
EXM004501,2026055300000045,5,LAW101,Final,2026-07-07,80,A+,4.00
EXM004502,2026055300000045,5,LAW203,Final,2026-07-08,42,D,2.00
EXM004503,2026055300000045,5,LAW221,Final,2026-07-09,60,B,3.00
EXM004504,2026055300000045,5,LAW303,Final,2026-07-10,75,A,3.75
EXM004505,2026055300000045,5,LAW315,Final,2026-07-11,74,A-,3.50
EXM004601,2026065400000046,6,PHR101,Final,2026-07-08,40,D,2.00
EXM004602,2026065400000046,6,PHR203,Final,2026-07-09,86,A+,4.00
EXM004603,2026065400000046,6,PHR221,Final,2026-07-10,55,B-,2.75
EXM004604,2026065400000046,6,PHR303,Final,2026-07-11,79,A,3.75
EXM004605,2026065400000046,6,PHR315,Final,2026-07-12,54,C+,2.50
EXM004701,2026075500000047,7,CE101,Final,2026-07-09,79,A,3.75
EXM004702,2026075500000047,7,CE203,Final,2026-07-10,48,C,2.25
EXM004703,2026075500000047,7,CE221,Final,2026-07-11,97,A+,4.00
EXM004704,2026075500000047,7,CE303,Final,2026-07-12,88,A+,4.00
EXM004705,2026075500000047,7,CE315,Final,2026-07-13,55,B-,2.75
EXM004801,2026085600000048,8,ECO101,Final,2026-07-10,47,C,2.25
EXM004802,2026085600000048,8,ECO203,Final,2026-07-11,79,A,3.75
EXM004803,2026085600000048,8,ECO221,Final,2026-07-12,54,C+,2.50
EXM004804,2026085600000048,8,ECO303,Final,2026-07-13,43,D,2.00
EXM004805,2026085600000048,8,ECO315,Final,2026-07-14,44,D,2.00
EXM004901,2026014900000049,1,CSE101,Final,2026-07-11,92,A+,4.00
EXM004902,2026014900000049,1,CSE203,Final,2026-07-12,63,B,3.00
EXM004903,2026014900000049,1,CSE211,Final,2026-07-13,60,B,3.00
EXM004904,2026014900000049,1,CSE305,Final,2026-07-14,78,A,3.75
EXM004905,2026014900000049,1,CSE321,Final,2026-07-15,92,A+,4.00
EXM005001,2026025000000050,2,EEE101,Final,2026-07-12,72,A-,3.50
EXM005002,2026025000000050,2,EEE203,Final,2026-07-13,70,A-,3.50
EXM005003,2026025000000050,2,EEE221,Final,2026-07-14,60,B,3.00
EXM005004,2026025000000050,2,EEE303,Final,2026-07-15,93,A+,4.00
EXM005005,2026025000000050,2,EEE315,Final,2026-07-16,42,D,2.00
EXM005101,2026035100000051,3,BUS101,Final,2026-07-13,84,A+,4.00
EXM005102,2026035100000051,3,BUS203,Final,2026-07-14,75,A,3.75
EXM005103,2026035100000051,3,FIN221,Final,2026-07-15,87,A+,4.00
EXM005104,2026035100000051,3,MKT301,Final,2026-07-16,79,A,3.75
EXM005105,2026035100000051,3,ACC211,Final,2026-07-17,54,C+,2.50
EXM005201,2026045200000052,4,ENG101,Final,2026-07-14,64,B,3.00
EXM005202,2026045200000052,4,ENG205,Final,2026-07-15,96,A+,4.00
EXM005203,2026045200000052,4,ENG221,Final,2026-07-16,62,B,3.00
EXM005204,2026045200000052,4,ENG303,Final,2026-07-17,94,A+,4.00
EXM005205,2026045200000052,4,ENG315,Final,2026-07-18,93,A+,4.00
EXM005301,2026055300000053,5,LAW101,Final,2026-07-15,84,A+,4.00
EXM005302,2026055300000053,5,LAW203,Final,2026-07-16,49,C,2.25
EXM005303,2026055300000053,5,LAW221,Final,2026-07-17,41,D,2.00
EXM005304,2026055300000053,5,LAW303,Final,2026-07-18,61,B,3.00
EXM005305,2026055300000053,5,LAW315,Final,2026-07-19,45,C,2.25
EXM005401,2026065400000054,6,PHR101,Final,2026-07-16,55,B-,2.75
EXM005402,2026065400000054,6,PHR203,Final,2026-07-17,81,A+,4.00
EXM005403,2026065400000054,6,PHR221,Final,2026-07-18,62,B,3.00
EXM005404,2026065400000054,6,PHR303,Final,2026-07-19,66,B+,3.25
EXM005405,2026065400000054,6,PHR315,Final,2026-07-20,83,A+,4.00
EXM005501,2026075500000055,7,CE101,Final,2026-07-17,58,B-,2.75
EXM005502,2026075500000055,7,CE203,Final,2026-07-18,51,C+,2.50
EXM005503,2026075500000055,7,CE221,Final,2026-07-19,75,A,3.75
EXM005504,2026075500000055,7,CE303,Final,2026-07-20,58,B-,2.75
EXM005505,2026075500000055,7,CE315,Final,2026-07-21,69,B+,3.25
EXM005601,2026085600000056,8,ECO101,Final,2026-07-18,73,A-,3.50
EXM005602,2026085600000056,8,ECO203,Final,2026-07-19,53,C+,2.50
EXM005603,2026085600000056,8,ECO221,Final,2026-07-20,52,C+,2.50
EXM005604,2026085600000056,8,ECO303,Final,2026-07-21,81,A+,4.00
EXM005605,2026085600000056,8,ECO315,Final,2026-07-22,46,C,2.25
EXM005701,2026014900000057,1,CSE101,Final,2026-07-19,49,C,2.25
EXM005702,2026014900000057,1,CSE203,Final,2026-07-20,48,C,2.25
EXM005703,2026014900000057,1,CSE211,Final,2026-07-21,58,B-,2.75
EXM005704,2026014900000057,1,CSE305,Final,2026-07-22,91,A+,4.00
EXM005705,2026014900000057,1,CSE321,Final,2026-07-23,60,B,3.00
EXM005801,2026025000000058,2,EEE101,Final,2026-07-20,76,A,3.75
EXM005802,2026025000000058,2,EEE203,Final,2026-07-21,78,A,3.75
EXM005803,2026025000000058,2,EEE221,Final,2026-07-22,84,A+,4.00
EXM005804,2026025000000058,2,EEE303,Final,2026-07-23,97,A+,4.00
EXM005805,2026025000000058,2,EEE315,Final,2026-07-24,59,B-,2.75
EXM005901,2026035100000059,3,BUS101,Final,2026-07-21,86,A+,4.00
EXM005902,2026035100000059,3,BUS203,Final,2026-07-22,46,C,2.25
EXM005903,2026035100000059,3,FIN221,Final,2026-07-23,84,A+,4.00
EXM005904,2026035100000059,3,MKT301,Final,2026-07-24,75,A,3.75
EXM005905,2026035100000059,3,ACC211,Final,2026-07-25,83,A+,4.00
EXM006001,2026045200000060,4,ENG101,Final,2026-07-02,45,C,2.25
EXM006002,2026045200000060,4,ENG205,Final,2026-07-03,42,D,2.00
EXM006003,2026045200000060,4,ENG221,Final,2026-07-04,97,A+,4.00
EXM006004,2026045200000060,4,ENG303,Final,2026-07-05,59,B-,2.75
EXM006005,2026045200000060,4,ENG315,Final,2026-07-06,82,A+,4.00
EXM006101,2026055300000061,5,LAW101,Final,2026-07-03,66,B+,3.25
EXM006102,2026055300000061,5,LAW203,Final,2026-07-04,85,A+,4.00
EXM006103,2026055300000061,5,LAW221,Final,2026-07-05,92,A+,4.00
EXM006104,2026055300000061,5,LAW303,Final,2026-07-06,67,B+,3.25
EXM006105,2026055300000061,5,LAW315,Final,2026-07-07,63,B,3.00
EXM006201,2026065400000062,6,PHR101,Final,2026-07-04,41,D,2.00
EXM006202,2026065400000062,6,PHR203,Final,2026-07-05,81,A+,4.00
EXM006203,2026065400000062,6,PHR221,Final,2026-07-06,85,A+,4.00
EXM006204,2026065400000062,6,PHR303,Final,2026-07-07,74,A-,3.50
EXM006205,2026065400000062,6,PHR315,Final,2026-07-08,97,A+,4.00
EXM006301,2026075500000063,7,CE101,Final,2026-07-05,43,D,2.00
EXM006302,2026075500000063,7,CE203,Final,2026-07-06,70,A-,3.50
EXM006303,2026075500000063,7,CE221,Final,2026-07-07,56,B-,2.75
EXM006304,2026075500000063,7,CE303,Final,2026-07-08,71,A-,3.50
EXM006305,2026075500000063,7,CE315,Final,2026-07-09,43,D,2.00
EXM006401,2026085600000064,8,ECO101,Final,2026-07-06,48,C,2.25
EXM006402,2026085600000064,8,ECO203,Final,2026-07-07,88,A+,4.00
EXM006403,2026085600000064,8,ECO221,Final,2026-07-08,45,C,2.25
EXM006404,2026085600000064,8,ECO303,Final,2026-07-09,40,D,2.00
EXM006405,2026085600000064,8,ECO315,Final,2026-07-10,73,A-,3.50
EXM006501,2026014900000065,1,CSE101,Final,2026-07-07,55,B-,2.75
EXM006502,2026014900000065,1,CSE203,Final,2026-07-08,65,B+,3.25
EXM006503,2026014900000065,1,CSE211,Final,2026-07-09,72,A-,3.50
EXM006504,2026014900000065,1,CSE305,Final,2026-07-10,97,A+,4.00
EXM006505,2026014900000065,1,CSE321,Final,2026-07-11,49,C,2.25
EXM006601,2026025000000066,2,EEE101,Final,2026-07-08,89,A+,4.00
EXM006602,2026025000000066,2,EEE203,Final,2026-07-09,93,A+,4.00
EXM006603,2026025000000066,2,EEE221,Final,2026-07-10,71,A-,3.50
EXM006604,2026025000000066,2,EEE303,Final,2026-07-11,47,C,2.25
EXM006605,2026025000000066,2,EEE315,Final,2026-07-12,95,A+,4.00
EXM006701,2026035100000067,3,BUS101,Final,2026-07-09,95,A+,4.00
EXM006702,2026035100000067,3,BUS203,Final,2026-07-10,61,B,3.00
EXM006703,2026035100000067,3,FIN221,Final,2026-07-11,89,A+,4.00
EXM006704,2026035100000067,3,MKT301,Final,2026-07-12,93,A+,4.00
EXM006705,2026035100000067,3,ACC211,Final,2026-07-13,93,A+,4.00
EXM006801,2026045200000068,4,ENG101,Final,2026-07-10,47,C,2.25
EXM006802,2026045200000068,4,ENG205,Final,2026-07-11,74,A-,3.50
EXM006803,2026045200000068,4,ENG221,Final,2026-07-12,72,A-,3.50
EXM006804,2026045200000068,4,ENG303,Final,2026-07-13,50,C+,2.50
EXM006805,2026045200000068,4,ENG315,Final,2026-07-14,62,B,3.00
EXM006901,2026055300000069,5,LAW101,Final,2026-07-11,61,B,3.00
EXM006902,2026055300000069,5,LAW203,Final,2026-07-12,45,C,2.25
EXM006903,2026055300000069,5,LAW221,Final,2026-07-13,65,B+,3.25
EXM006904,2026055300000069,5,LAW303,Final,2026-07-14,88,A+,4.00
EXM006905,2026055300000069,5,LAW315,Final,2026-07-15,92,A+,4.00
EXM007001,2026065400000070,6,PHR101,Final,2026-07-12,80,A+,4.00
EXM007002,2026065400000070,6,PHR203,Final,2026-07-13,62,B,3.00
EXM007003,2026065400000070,6,PHR221,Final,2026-07-14,91,A+,4.00
EXM007004,2026065400000070,6,PHR303,Final,2026-07-15,91,A+,4.00
EXM007005,2026065400000070,6,PHR315,Final,2026-07-16,72,A-,3.50
EXM007101,2026075500000071,7,CE101,Final,2026-07-13,57,B-,2.75
EXM007102,2026075500000071,7,CE203,Final,2026-07-14,66,B+,3.25
EXM007103,2026075500000071,7,CE221,Final,2026-07-15,76,A,3.75
EXM007104,2026075500000071,7,CE303,Final,2026-07-16,85,A+,4.00
EXM007105,2026075500000071,7,CE315,Final,2026-07-17,82,A+,4.00
EXM007201,2026085600000072,8,ECO101,Final,2026-07-14,96,A+,4.00
EXM007202,2026085600000072,8,ECO203,Final,2026-07-15,52,C+,2.50
EXM007203,2026085600000072,8,ECO221,Final,2026-07-16,56,B-,2.75
EXM007204,2026085600000072,8,ECO303,Final,2026-07-17,42,D,2.00
EXM007205,2026085600000072,8,ECO315,Final,2026-07-18,93,A+,4.00
EXM007301,2026014900000073,1,CSE101,Final,2026-07-15,92,A+,4.00
